Gender,score
male,0.84974
male,0.84974
male,0.84974
female,0.84974
male,0.84969
male,0.84964
male,0.84964
male,0.8496
female,0.8496
male,0.84955
male,0.84955
male,0.84955
male,0.84955
male,0.8495
male,0.84945
male,0.84945
male,0.8494
male,0.84936
male,0.84936
male,0.84931
male,0.84917
male,0.84917
male,0.84912
male,0.84907
female,0.84907
female,0.84907
male,0.84902
male,0.84902
male,0.84897
male,0.84893
male,0.84893
male,0.84893
male,0.84888
male,0.84888
male,0.84888
male,0.84888
male,0.84883
male,0.84878
male,0.84874
male,0.84869
male,0.84869
male,0.84869
male,0.84864
female,0.84864
male,0.84859
male,0.84845
male,0.84831
male,0.84831
male,0.84826
male,0.84821
male,0.84821
male,0.84816
male,0.84811
male,0.84807
male,0.84802
male,0.84802
male,0.84797
male,0.84797
male,0.84797
male,0.84792
male,0.84792
male,0.84792
male,0.84792
male,0.84792
male,0.84778
male,0.84773
male,0.84773
female,0.84768
male,0.84764
male,0.84764
male,0.84759
male,0.84749
male,0.84749
male,0.8474
male,0.8474
male,0.8474
male,0.84735
male,0.84725
male,0.84721
male,0.84716
male,0.84711
male,0.84711
female,0.84711
male,0.84711
male,0.84711
female,0.84701
male,0.84701
male,0.84701
male,0.84697
male,0.84697
male,0.84687
male,0.84687
male,0.84682
female,0.84682
male,0.84678
male,0.84678
male,0.84673
male,0.84673
male,0.84673
male,0.84668
male,0.84668
female,0.84663
male,0.84663
male,0.84658
male,0.84658
female,0.84654
male,0.84654
male,0.84654
male,0.84654
male,0.84649
male,0.84644
male,0.84644
male,0.84644
male,0.84639
male,0.84639
male,0.84639
male,0.84635
male,0.84635
male,0.84625
female,0.84625
male,0.8462
male,0.8462
male,0.84615
male,0.84615
male,0.84611
female,0.84611
female,0.84606
male,0.84601
male,0.84601
female,0.84601
male,0.84591
male,0.84587
female,0.84582
male,0.84582
male,0.84582
male,0.84572
female,0.84572
female,0.84572
male,0.84572
male,0.84572
male,0.84568
male,0.84568
male,0.84563
male,0.84558
male,0.84553
male,0.84544
male,0.84539
male,0.84534
male,0.8452
male,0.8452
male,0.84515
male,0.84515
male,0.8451
male,0.84505
male,0.84501
male,0.84491
male,0.84486
male,0.84482
male,0.84472
male,0.84467
male,0.84467
male,0.84462
male,0.84462
male,0.84458
